,Title,Author,Format-Year
0,Real-World Spanish: The Conversation Learning System,Camila Vega Rivera,eAudiobook - 2025
1,Learning Spanish-beginner I,"Iris Acevedo A.; Spanishonline, Costarica",eBook - 2025
2,100 Facts About Learning Spanish,Science-Based Language Learning Lab,eAudiobook - 2024
3,100 Facts About Learning Spanish,Science-Based Language Learning Lab,eBook - 2024
4,A Beginner's Guide to Learning Spanish,"Miller, Jackson",eAudiobook - 2024
5,No Tears Spanish Grammar: Easy Learning: Essential Rules for Beginners,"Bennett, Olivia",eBook - 2024
6,The Ultimate Learning Spanish Blueprint - 10 Essential Steps,"Ramirez, Andres",eBook - 2024
7,Guess What Baby J Is Learning? 123's Spanish,"Sharif, Mboya",eBook - 2023
8,Learning Spanish for Adults Beginner,"World, Spain",eBook - 2023
9,Learning to Read in English and Spanish Made Easy,"Navarijo, Susie G.",eBook - 2022
10,Learn Spanish Like a Native for Beginners - Level 1: Learning Spanish in Your Car Has Never Been Eas,Learn Like a Native,eBook - 2021
11,Spanish for Beginners: A Comprehensive Guide for Learning the Spanish Language Fast,Language Equipped Travelers,eBook - 2021
12,Learn Spanish Like a Native for Beginners - Level 2: Learning Spanish in Your Car Has Never Been Eas,Learn Like a Native,eBook - 2021
13,"Spanish: Beginner's Step by Step Course to Quickly Learning the Spanish Language, Spanish Grammar &","Michaels, Steven J.",eBook - 2021
14,I'm Learning Spanish,"Gardner, James M.",eAudiobook - 2020
15,I am learning Spanish,"Gardner, James M.",eAudiobook - 2018
16,The Best Spanish Learning Games for Children,"Professor, Baby",eBook - 2017
17,Easy Learning Spanish Vocabulary,"Dictionaries, Collins",eBook - 2016
18,Easy Learning Spanish Grammar: Trusted support for learning,Various Authors,eBook - 2016
19,Easy Learning Spanish Verbs,Various Authors,eBook - 2016
20,Spanish Easy Learning Complete Course,"Carmen García del Río; Fitzsimons, Ronan",eAudiobook - 2016
21,Easy Learning Spanish Conversation,Various Authors,eBook - 2015
22,Learning the Local Language: Your Guide to Real World Spanish,"Romey, Jared",eBook - 2013
23,Easy Learning Spanish Idioms,"Dictionaries, Collins",eBook - 2011
24,Advanced Work with Commands,No Author,Streaming Video - 2017
25,The Conditional Tense,No Author,Streaming Video - 2017
26,Past Participles as Adjectives and Nouns,No Author,Streaming Video - 2017
27,Using Se to Talk about Unplanned Events,No Author,Streaming Video - 2017
28,The Future Tense,No Author,Streaming Video - 2017
29,Expressing Influence with the Subjunctive,No Author,Streaming Video - 2017
30,Relative Adverbs and Relative Pronouns,No Author,Streaming Video - 2017
31,Uses of the Infinitive,No Author,Streaming Video - 2017
32,Advanced Work with the Preterite Tense,No Author,Streaming Video - 2017
33,Expressing Emotion with the Subjunctive,No Author,Streaming Video - 2017
34,Expressing Doubt with the Subjunctive,No Author,Streaming Video - 2017
35,Health and Well-Being in Spanish,No Author,Streaming Video - 2017
36,Mastering the Uses of Estar and Ser,No Author,Streaming Video - 2017
37,Cognates and False Cognates,No Author,Streaming Video - 2017
38,Mastering Direct and Double Object Pronouns,No Author,Streaming Video - 2017
39,How to Expand Your Spanish Vocabulary,No Author,Streaming Video - 2017
40,How to Use Para and Por,No Author,Streaming Video - 2017
41,Introduction to the Imperfect Tense,No Author,Streaming Video - 2017
42,Essentials for Success with Spanish,No Author,Streaming Video - 2017
43,The Present Perfect Tense,No Author,Streaming Video - 2017
44,Next Steps toward Spanish Fluency,No Author,Streaming Video - 2017
45,Advanced Work with Adverbs and Adjectives,No Author,Streaming Video - 2017
46,Introduction to the Subjunctive Mood,No Author,Streaming Video - 2017
47,The Present Tense and Prepositions,No Author,Streaming Video - 2017
48,When to Use the Imperfect and the Preterite,No Author,Streaming Video - 2017
49,Indirect Objects and Verbs like Gustar,No Author,Streaming Video - 2017
50,Expressing Possession in Spanish,No Author,Streaming Video - 2017
51,Mastering the Imperfect and the Preterite,No Author,Streaming Video - 2017
52,Spanish Pronunciation and Reciprocal Verbs,No Author,Streaming Video - 2017
53,The Evolution of the Spanish Language,No Author,Streaming Video - 2017
54,Indefinite Articles and Numbers to 100,No Author,Streaming Video - 2015
55,Talking about the Past: ¿Desde Cuándo…?,No Author,Streaming Video - 2015
56,Expressions Using the Verb Tener,No Author,Streaming Video - 2015
57,Regular -er and -ir Verbs in the Preterite,No Author,Streaming Video - 2015
58,"Ver, Dar, and Other Irregular Verbs",No Author,Streaming Video - 2015
59,Formal Commands and Unequal Comparisons,No Author,Streaming Video - 2015
60,The Verbs Saber and Conocer,No Author,Streaming Video - 2015
61,The Present Progressive,No Author,Streaming Video - 2015
62,The Verb Ir in the Present,No Author,Streaming Video - 2015
63,Informal Commands,No Author,Streaming Video - 2015
64,Superlatives and Equal Comparisons,No Author,Streaming Video - 2015
65,Introduction to the Spanish Language,No Author,Streaming Video - 2015
66,Indirect Object Pronouns,No Author,Streaming Video - 2015
67,Double Object Pronouns,No Author,Streaming Video - 2015
68,Subject Pronouns and the Verb Ser,No Author,Streaming Video - 2015
69,Definite Articles and Nouns,No Author,Streaming Video - 2015
70,Regular -er and -ir Verbs in the Present,No Author,Streaming Video - 2015
71,Next Steps in Improving Your Spanish,No Author,Streaming Video - 2015
72,Verbs like Hacer and Interrogative Words,No Author,Streaming Video - 2015
73,"Affirmatives, Negatives, and Demonstratives",No Author,Streaming Video - 2015
74,Direct Object Pronouns and Adverbs,No Author,Streaming Video - 2015
75,Reflexive Verbs,No Author,Streaming Video - 2015
76,Stem-Changing Verbs,No Author,Streaming Video - 2015
77,Expressing Time in Spanish,No Author,Streaming Video - 2015
78,More Affirmative and Negative Expressions,No Author,Streaming Video - 2015
79,Regular -ar Verbs in the Preterite,No Author,Streaming Video - 2015
80,Irregular Verbs in the Preterite,No Author,Streaming Video - 2015
81,Regular -ar Verbs in the Present,No Author,Streaming Video - 2015
82,Talking about the Past: Acabar and Hace,No Author,Streaming Video - 2015
83,The Verb Estar and Numbers over 100,No Author,Streaming Video - 2015
